# Generated by luna-rs gen_sample_eeg
# sfreq=256 channels=22 duration=10s samples=2560
timestamp,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,T3-C3,C3-CZ,CZ-C4,C4-T4,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,A1-T3,T4-A2
5.078125000e-2,1.762827196e-5,1.733185854e-5,1.500946291e-5,1.416804935e-5,1.407026593e-5,1.097351287e-5,9.613310795e-6,1.011387667e-5,6.359144663e-6,5.479196261e-6,4.207500751e-6,6.872189715e-7,-1.240198799e-6,-3.532299388e-6,-4.860396984e-6,-8.778183656e-6,-9.389544175e-6,-1.199572853e-5,-1.081052687e-5,-1.260586578e-5,-1.160079137e-5,-1.287270879e-5
5.468750000e-2,1.419637192e-5,1.310434982e-5,1.312787026e-5,9.774855243e-6,1.062647152e-5,7.111385457e-6,4.569462362e-6,1.580654384e-6,-8.331617209e-7,-2.267850959e-6,-5.183279427e-6,-7.801410902e-6,-8.242566764e-6,-9.736625543e-6,-1.117518968e-5,-1.189740942e-5,-1.401216196e-5,-1.168475319e-5,-1.310523385e-5,-1.287661507e-5,-8.856522982e-6,-8.002740287e-6
5.859375000e-2,1.338783113e-5,9.410241546e-6,6.895476417e-6,5.653808785e-6,4.664960215e-6,1.616543159e-6,-1.580555477e-6,-5.063112440e-6,-7.247494068e-6,-8.629320291e-6,-9.388843864e-6,-1.205553508e-5,-1.158830310e-5,-1.248235731e-5,-1.454000540e-5,-1.320381034e-5,-1.241367772e-5,-9.919499462e-6,-6.665102774e-6,-5.417932243e-6,-2.059746748e-6,-7.613726325e-7
6.250000000e-2,9.162496099e-6,5.671694908e-6,3.901690434e-6,6.968864454e-7,-1.620187049e-6,-3.653255362e-6,-7.523575732e-6,-9.119382412e-6,-1.143520512e-5,-1.144841553e-5,-1.236997741e-5,-1.339058053e-5,-1.278743184e-5,-1.186748159e-5,-9.900848454e-6,-9.276573110e-6,-5.444453564e-6,-3.901558102e-6,-3.339499699e-7,4.025187081e-6,4.846684078e-6,6.633809335e-6
6.640625000e-2,3.584460501e-6,5.343277394e-7,-3.605337042e-6,-6.331410532e-6,-9.265234439e-6,-9.321163816e-6,-1.304231591e-5,-1.301508019e-5,-1.428313135e-5,-1.373343548e-5,-1.305524620e-5,-1.088504450e-5,-9.155846783e-6,-8.572450497e-6,-3.338042916e-6,-2.824076091e-6,2.382787216e-6,4.896153314e-6,6.075104011e-6,1.130558940e-5,1.056911515e-5,1.334545141e-5
7.031250000e-2,-1.650633521e-6,-5.901789336e-6,-7.307623036e-6,-9.504137779e-6,-1.360026909e-5,-1.489985334e-5,-1.458940278e-5,-1.501665338e-5,-1.330457508e-5,-1.055686789e-5,-8.725040971e-6,-8.064861504e-6,-2.513487743e-6,3.116832090e-7,2.891268878e-6,6.140146070e-6,9.197608051e-6,1.044830879e-5,1.306552167e-5,1.349134345e-5,1.339593109e-5,1.623720345e-5
7.421875000e-2,-8.579876521e-6,-9.281367056e-6,-1.365068965e-5,-1.447173236e-5,-1.437837727e-5,-1.636887100e-5,-1.429644271e-5,-1.365053140e-5,-9.661451259e-6,-6.019580724e-6,-2.575829058e-6,4.324736551e-7,3.806895393e-6,6.041546840e-6,9.381159543e-6,1.224507014e-5,1.294822869e-5,1.280125525e-5,1.346204590e-5,1.289674128e-5,1.313086614e-5,1.148240699e-5
7.812500000e-2,-1.254136532e-5,-1.474449618e-5,-1.620574585e-5,-1.485994107e-5,-1.423438425e-5,-1.295511174e-5,-1.017573231e-5,-8.415904631e-6,-3.472815933e-6,2.641513106e-7,3.920826202e-6,6.829568520e-6,7.943254786e-6,1.032280215e-5,1.388583587e-5,1.257404620e-5,1.531350790e-5,1.226483982e-5,1.277259071e-5,1.067947051e-5,1.058064936e-5,1.096208143e-5
8.203125000e-2,-1.435054764e-5,-1.624163087e-5,-1.584393067e-5,-1.318698196e-5,-1.204000728e-5,-8.354661077e-6,-5.056623195e-6,-9.887218084e-7,1.670307256e-6,4.795097084e-6,8.443696061e-6,9.740007954e-6,1.331658586e-5,1.401529698e-5,1.273327871e-5,1.426607014e-5,1.134797640e-5,9.800962289e-6,9.220218999e-6,8.163450730e-6,9.568412679e-6,7.755213119e-6
8.593750000e-2,-1.726595656e-5,-1.706416515e-5,-1.394052833e-5,-1.117276861e-5,-8.535481356e-6,-4.250447546e-6,-8.757923524e-7,3.951220151e-6,7.950767213e-6,1.011438781e-5,1.291744502e-5,1.229055761e-5,1.354975302e-5,1.314445672e-5,1.223128857e-5,9.043024875e-6,1.018328385e-5,9.436536857e-6,8.240786883e-6,6.879812190e-6,7.427392575e-6,4.359550985e-6
8.984375000e-2,-1.675883505e-5,-1.398912445e-5,-1.123421498e-5,-6.371356903e-6,-4.852988695e-7,2.876319058e-6,5.442740530e-6,8.928681382e-6,1.244875784e-5,1.276841249e-5,1.280759443e-5,1.300068016e-5,1.066131426e-5,1.132088983e-5,7.429334801e-6,7.170460776e-6,5.761503417e-6,5.759797659e-6,5.993880222e-6,4.037076906e-6,2.157297786e-6,5.159006378e-7
9.375000000e-2,-1.344354587e-5,-9.127786143e-6,-6.583612503e-6,-9.590781929e-7,4.427311069e-6,7.395513876e-6,1.072700798e-5,1.242717371e-5,1.192679701e-5,1.143846566e-5,1.086638804e-5,8.797047485e-6,9.695574590e-6,7.964055840e-6,6.176997886e-6,4.643320608e-6,5.195153790e-6,2.084189418e-6,2.369848517e-6,6.984730589e-7,-3.006207862e-6,-6.242634299e-6
9.765625000e-2,-9.728958503e-6,-5.782599146e-6,5.657622069e-7,3.280549663e-6,8.747697393e-6,9.172065802e-6,1.265500396e-5,1.107859680e-5,1.039979361e-5,1.001753662e-5,8.740006706e-6,6.161301371e-6,4.472733963e-6,3.339573595e-6,2.414008350e-6,3.278991699e-6,1.171095619e-6,-5.148322089e-7,-1.383969789e-6,-5.054548183e-6,-9.583772226e-6,-1.727956260e-5
1.015625000e-1,-4.277177140e-6,1.716709107e-6,4.889202501e-6,7.749808901e-6,1.101063390e-5,1.001922192e-5,1.103742215e-5,9.240074178e-6,7.005246061e-6,8.058811545e-6,3.973426828e-6,4.222401003e-6,2.007480816e-6,9.382189319e-7,2.217557721e-6,-6.202173495e-7,-1.665309810e-6,-7.086118785e-6,-1.074044940e-5,-1.736652666e-5,-2.334697820e-5,-2.849035081e-5
1.054687500e-1,5.656752933e-7,4.895733582e-6,8.779868949e-6,1.142823021e-5,1.147096282e-5,1.065471497e-5,7.827467016e-6,6.146757642e-6,5.514342774e-6,5.454838174e-6,2.698976687e-6,3.354455202e-6,5.609994673e-7,6.720049441e-7,-2.951959686e-6,-5.835267530e-6,-9.538648555e-6,-1.533464638e-5,-2.201807365e-5,-2.695769035e-5,-3.213128730e-5,-3.657245907e-5
1.093750000e-1,5.652642812e-6,8.683625310e-6,9.994280845e-6,1.189184059e-5,9.134208085e-6,8.680459359e-6,6.031344583e-6,5.064828656e-6,1.604081376e-6,1.325129119e-6,2.143314305e-6,6.781141337e-7,-3.266007297e-6,-6.078251772e-6,-1.034728575e-5,-1.326128313e-5,-1.883561708e-5,-2.450976172e-5,-3.191072028e-5,-3.470370575e-5,-3.844477033e-5,-4.081643056e-5
1.132812500e-1,7.458516393e-6,9.609272638e-6,1.150434218e-5,7.902075595e-6,8.053351849e-6,6.323744856e-6,2.706071427e-6,1.347907528e-6,-4.303606147e-7,1.218652415e-6,-1.092413868e-6,-3.258062634e-6,-6.130696420e-6,-1.263573085e-5,-1.666402022e-5,-2.516274253e-5,-2.945839333e-5,-3.453918907e-5,-3.721196117e-5,-3.956000364e-5,-3.923416807e-5,-3.647675476e-5
1.171875000e-1,1.089172656e-5,8.495825568e-6,9.016772310e-6,5.137253538e-6,4.573032129e-6,3.867575288e-6,2.195207799e-6,1.236952130e-6,-2.439127911e-6,-2.110861033e-6,-7.118444501e-6,-1.004748992e-5,-1.393148614e-5,-2.229708116e-5,-2.568315540e-5,-3.376789391e-5,-3.687490607e-5,-3.958277011e-5,-3.738064697e-5,-3.570509944e-5,-3.117695815e-5,-2.744203994e-5
1.210937500e-1,8.042416994e-6,8.789625099e-6,6.346442206e-6,2.364090506e-6,3.315509275e-6,9.213106864e-7,-1.831861255e-6,-3.294619091e-6,-3.745959020e-6,-6.403131010e-6,-1.052754214e-5,-1.865358900e-5,-2.445995960e-5,-3.092722909e-5,-3.347584789e-5,-3.765795191e-5,-3.807224857e-5,-3.878995267e-5,-3.437529813e-5,-2.766444959e-5,-2.150258842e-5,-1.676609645e-5
1.250000000e-1,7.962259588e-6,6.775287602e-6,3.407859822e-6,7.940679438e-7,-4.160125400e-7,-1.111179699e-6,-2.738403282e-6,-6.333458259e-6,-7.205753718e-6,-1.406940282e-5,-1.913870619e-5,-2.574524842e-5,-3.260466474e-5,-3.729247328e-5,-3.833475057e-5,-3.835839743e-5,-3.682501847e-5,-3.152187128e-5,-2.647685324e-5,-1.795814387e-5,-1.178292314e-5,-7.431495305e-6
1.289062500e-1,6.625763945e-6,3.311491128e-6,4.473626234e-7,5.225239192e-7,-1.767300319e-6,-2.820760983e-6,-6.970731192e-6,-1.027098642e-5,-1.386431632e-5,-2.198695802e-5,-2.661405415e-5,-3.430116703e-5,-3.567451859e-5,-3.970661783e-5,-3.652598389e-5,-3.507192014e-5,-2.872162804e-5,-2.020946340e-5,-1.415098450e-5,-9.739920642e-6,-5.624105142e-6,-1.983732318e-6
1.328125000e-1,3.075423365e-6,-5.407466688e-7,-1.026966288e-6,-3.600527862e-6,-3.860981906e-6,-6.216812380e-6,-1.070751296e-5,-1.559175689e-5,-2.195257548e-5,-2.716996096e-5,-3.443677633e-5,-3.820578058e-5,-3.791664130e-5,-3.547243978e-5,-3.047276550e-5,-2.579878856e-5,-1.827023334e-5,-1.196414269e-5,-8.035788596e-6,-3.632536618e-6,1.410557502e-6,4.136003554e-6
1.367187500e-1,1.782227628e-7,-2.560726671e-7,-4.372078820e-6,-4.028194780e-6,-5.756248356e-6,-1.052873813e-5,-1.537631215e-5,-2.187472819e-5,-2.823312025e-5,-3.416406253e-5,-3.863127131e-5,-3.746432049e-5,-3.617308539e-5,-3.001528603e-5,-2.142623453e-5,-1.638091817e-5,-8.972852811e-6,-2.796676654e-6,-1.196029871e-6,2.746387736e-6,6.455538369e-6,9.092630535e-6
1.406250000e-1,-3.193425073e-6,-4.238733254e-6,-4.352663836e-6,-6.484627193e-6,-1.089050784e-5,-1.683788287e-5,-2.134291572e-5,-2.936601231e-5,-3.453679165e-5,-3.838150951e-5,-3.847892731e-5,-3.341096090e-5,-2.831034180e-5,-2.001589382e-5,-1.420572971e-5,-5.445676834e-6,-2.597951379e-6,2.376479870e-6,6.086142548e-6,8.620780136e-6,1.273156886e-5,1.649235855e-5
1.445312500e-1,-2.402565315e-6,-4.755035661e-6,-6.119368209e-6,-1.015388261e-5,-1.450134732e-5,-2.116174437e-5,-2.730677261e-5,-3.316631773e-5,-3.793885844e-5,-3.638095222e-5,-3.145109076e-5,-2.651609066e-5,-1.889232772e-5,-1.095634707e-5,-4.850939149e-6,-4.354184568e-8,4.819821243e-6,6.163606031e-6,9.103812772e-6,1.377981425e-5,1.904134115e-5,2.344946552e-5
1.484375000e-1,-4.417863693e-6,-6.411058166e-6,-1.045692170e-5,-1.457721282e-5,-1.995821913e-5,-2.867340481e-5,-3.314059359e-5,-3.759302490e-5,-3.670805017e-5,-3.344118159e-5,-2.386029155e-5,-1.569218875e-5,-1.017831164e-5,-4.179146799e-6,7.563295412e-7,4.226454621e-6,7.172398000e-6,1.217898443e-5,1.612343112e-5,1.923808304e-5,2.325720379e-5,2.699793731e-5
1.523437500e-1,-7.112575076e-6,-1.044056262e-5,-1.375468673e-5,-1.968712240e-5,-2.851727550e-5,-3.245664630e-5,-3.603855293e-5,-3.502715481e-5,-3.152140198e-5,-2.324367051e-5,-1.507840261e-5,-9.212423720e-6,-7.683260037e-7,4.245039236e-6,6.288507848e-6,1.003109355e-5,1.368582616e-5,1.789878843e-5,2.335542922e-5,2.599669824e-5,2.672105620e-5,2.425342791e-5
1.562500000e-1,-9.673050954e-6,-1.190523744e-5,-1.925136530e-5,-2.684748870e-5,-3.108816964e-5,-3.525515422e-5,-3.626451144e-5,-3.061029929e-5,-2.473900349e-5,-1.579249147e-5,-7.755616025e-6,-4.037891301e-7,5.774309557e-6,7.847997949e-6,9.914990187e-6,1.571734720e-5,1.870476626e-5,2.304193367e-5,2.754963316e-5,2.706542546e-5,2.343940287e-5,1.453588720e-5
1.601562500e-1,-1.364805394e-5,-1.849003638e-5,-2.560823486e-5,-3.095093780e-5,-3.433703023e-5,-3.387476681e-5,-3.053166438e-5,-2.406994281e-5,-1.449265255e-5,-4.637659003e-6,6.862406394e-7,5.694004358e-6,8.502270248e-6,1.251766389e-5,1.732613237e-5,1.955486186e-5,2.457248593e-5,2.536011016e-5,2.662973202e-5,2.089351983e-5,1.447781779e-5,7.040436685e-6
1.640625000e-1,-1.624178731e-5,-2.197390859e-5,-2.945191773e-5,-3.463577741e-5,-3.537967859e-5,-3.117544111e-5,-2.280496847e-5,-1.408731168e-5,-4.343883120e-6,2.914573770e-6,5.614801921e-6,1.014721238e-5,1.359457201e-5,1.832708040e-5,2.231989674e-5,2.463506098e-5,2.874040001e-5,2.614412915e-5,1.953689571e-5,1.392154081e-5,3.344504648e-6,-1.786601160e-6
1.679687500e-1,-2.022134868e-5,-2.817035602e-5,-3.303405538e-5,-3.567390740e-5,-3.204773384e-5,-2.576288534e-5,-1.676489956e-5,-5.458298801e-6,3.408513294e-6,6.638634659e-6,1.122302001e-5,1.545715168e-5,1.927676567e-5,2.065743502e-5,2.619922088e-5,2.791318730e-5,2.713053982e-5,1.905586214e-5,1.085199619e-5,4.246654498e-6,-4.882463600e-6,-6.561648206e-6
1.718750000e-1,-2.301657332e-5,-2.928108188e-5,-3.483792898e-5,-3.252663737e-5,-2.630292693e-5,-1.625452023e-5,-7.698412446e-6,1.100281224e-6,8.876957509e-6,1.217243334e-5,1.382664868e-5,1.712311860e-5,2.384822801e-5,2.586832852e-5,2.735408634e-5,2.681268597e-5,2.045916699e-5,1.220482500e-5,3.687518529e-6,-5.213998520e-6,-6.761267286e-6,-5.002954822e-6
1.757812500e-1,-2.818905887e-5,-3.286252468e-5,-3.247337008e-5,-2.852573198e-5,-1.870790948e-5,-7.015973551e-6,1.757459700e-6,7.644906873e-6,1.302949386e-5,1.596656148e-5,2.034495628e-5,2.379713260e-5,2.553111335e-5,2.885077629e-5,2.658179983e-5,2.129088170e-5,1.275053364e-5,1.641663857e-6,-4.534118034e-6,-6.116490113e-6,-6.344976555e-6,-6.888890312e-7
1.796875000e-1,-3.217553240e-5,-3.386410754e-5,-2.815007792e-5,-1.951701233e-5,-1.033765329e-5,2.132085456e-6,8.376508049e-6,1.188139140e-5,1.643359610e-5,2.065575427e-5,2.220287388e-5,2.762338590e-5,2.941883577e-5,2.795272121e-5,2.038996172e-5,1.049479397e-5,2.845444669e-6,-5.407894150e-6,-7.780519809e-6,-5.211487860e-6,-2.535256954e-6,1.557475798e-6
1.835937500e-1,-3.056463174e-5,-2.868967022e-5,-2.154752292e-5,-1.051863001e-5,2.671338279e-7,7.056619779e-6,1.457757571e-5,1.794124728e-5,1.847497151e-5,2.291807868e-5,2.587504241e-5,2.967226646e-5,2.900961044e-5,2.035354555e-5,1.183501990e-5,2.244620418e-6,-4.332365279e-6,-5.716203304e-6,-3.992382062e-6,-2.449143722e-6,1.829979169e-6,6.338770618e-6
1.875000000e-1,-3.147005555e-5,-2.497459172e-5,-1.417306339e-5,-3.407736585e-6,7.623080364e-6,1.233555849e-5,1.571554094e-5,1.910099490e-5,2.210516686e-5,2.768160994e-5,3.012667366e-5,2.897260129e-5,2.312626566e-5,1.232986961e-5,2.186459369e-6,-3.245751941e-6,-5.848490218e-6,-5.492276159e-6,-1.444941063e-6,4.355464625e-6,7.745873518e-6,9.216742910e-6
1.914062500e-1,-2.567370211e-5,-1.845261613e-5,-5.982119546e-6,5.981366030e-6,1.389711633e-5,1.753584365e-5,2.020474676e-5,2.328859591e-5,2.631001371e-5,2.987792141e-5,2.764034252e-5,2.462443263e-5,1.461563261e-5,4.334733148e-6,-4.172520221e-6,-8.753107068e-6,-5.556586984e-6,-1.101204816e-8,3.953856776e-6,5.351398613e-6,7.414047559e-6,9.910375411e-6
1.953125000e-1,-2.041148946e-5,-1.015189537e-5,3.461328333e-6,1.156410508e-5,1.854068796e-5,1.923882155e-5,2.206795216e-5,2.627513459e-5,2.769873390e-5,2.969427442e-5,2.560541179e-5,1.662711838e-5,5.154043720e-6,-3.807384473e-6,-7.661053132e-6,-5.822418643e-6,-1.511537903e-6,3.793109272e-6,5.430502824e-6,8.379825886e-6,1.038610299e-5,1.416523173e-5
1.992187500e-1,-1.281344794e-5,-5.460184980e-7,1.062938009e-5,1.811477705e-5,1.977653119e-5,2.210417188e-5,2.467769627e-5,2.904354005e-5,2.887659866e-5,2.688212408e-5,1.944159521e-5,7.689478480e-6,-2.797341494e-6,-5.906032129e-6,-6.278770343e-6,-2.404734687e-6,1.688584007e-6,7.360120890e-6,9.317223885e-6,1.164557852e-5,1.601209078e-5,2.246302756e-5
2.031250000e-1,-5.152174253e-6,6.288163149e-6,1.598471863e-5,1.997865002e-5,2.357933226e-5,2.539963862e-5,2.682903141e-5,2.978840166e-5,2.805962504e-5,2.045430483e-5,1.138960124e-5,5.739319136e-7,-8.421579878e-6,-8.906179573e-6,-2.608534032e-6,1.386491249e-6,5.505197350e-6,8.678698578e-6,1.136214814e-5,1.396823336e-5,1.949159741e-5,2.566822695e-5
2.070312500e-1,1.957062977e-6,1.271791098e-5,1.887148028e-5,2.186685742e-5,2.619256338e-5,2.645962559e-5,3.112721242e-5,2.975151256e-5,2.215438144e-5,1.414429244e-5,1.379576815e-6,-7.140539310e-6,-8.069627256e-6,-5.504030923e-6,1.645036036e-6,3.992173788e-6,8.653931218e-6,9.092973414e-6,1.435927879e-5,1.898154005e-5,2.513579966e-5,2.621023305e-5
2.109375000e-1,1.026565769e-5,1.940669972e-5,2.413894617e-5,2.545243478e-5,2.720749399e-5,2.869359923e-5,3.026370723e-5,2.619868610e-5,1.714357131e-5,5.095168490e-6,-5.083300039e-6,-8.069137039e-6,-6.567686796e-6,-5.080275400e-7,4.942211945e-6,7.742069101e-6,8.991303730e-6,1.119013541e-5,1.794406489e-5,2.320899148e-5,2.664583189e-5,2.079991646e-5
2.148437500e-1,1.742286622e-5,2.124406092e-5,2.497488458e-5,2.580515502e-5,2.754931666e-5,2.907347880e-5,2.719533768e-5,2.060300721e-5,7.073821962e-6,-3.354301953e-6,-8.536896530e-6,-7.499828371e-6,-1.196965059e-6,3.607513008e-6,5.219195373e-6,9.726129065e-6,1.015609269e-5,1.593622801e-5,2.141381810e-5,2.523201874e-5,2.060252882e-5,1.006187813e-5
2.187500000e-1,2.181214404e-5,2.543667142e-5,2.682944069e-5,2.808172576e-5,3.078206646e-5,2.902098458e-5,2.333585144e-5,1.220402100e-5,2.872450011e-8,-6.536819456e-6,-9.569957001e-6,-4.732712114e-6,1.219595788e-6,5.434147624e-6,7.440280569e-6,9.839653103e-6,1.387146312e-5,2.189127918e-5,2.413130642e-5,2.301415589e-5,1.283854363e-5,-1.670696065e-6
2.226562500e-1,2.544319614e-5,2.664885869e-5,2.726318235e-5,2.855089224e-5,2.911672527e-5,2.661502731e-5,1.486500787e-5,4.010980774e-6,-6.859559562e-6,-1.074724150e-5,-5.977975434e-6,-1.312619929e-6,3.698847877e-6,7.770557204e-6,9.507017239e-6,1.272882309e-5,1.967607204e-5,2.334956662e-5,2.088037218e-5,1.225479900e-5,-1.420967919e-6,-1.514528958e-5
2.265625000e-1,2.617716746e-5,2.639710874e-5,2.943334221e-5,3.152263525e-5,2.907932867e-5,2.041977677e-5,8.736139534e-6,-2.710850367e-6,-1.088214867e-5,-8.655335478e-6,-1.034464503e-6,3.319018788e-6,5.231666364e-6,8.131257346e-6,1.053568121e-5,1.621548836e-5,2.224433410e-5,2.318773295e-5,1.471392898e-5,-1.386153258e-6,-1.409157449e-5,-2.369067988e-5
2.304687500e-1,2.646891335e-5,2.799435424e-5,2.903521818e-5,2.912222590e-5,2.487867641e-5,1.227761186e-5,-1.495150315e-7,-8.014482773e-6,-9.478567335e-6,-5.441472695e-6,2.390420377e-6,6.784245670e-6,8.199428521e-6,1.070841881e-5,1.542293103e-5,1.982239337e-5,2.125154424e-5,1.471171799e-5,2.991007250e-6,-1.295075526e-5,-2.227124241e-5,-2.698369462e-5
2.343750000e-1,2.797850357e-5,2.908076385e-5,3.139012551e-5,2.796474109e-5,1.831447844e-5,4.738984899e-6,-5.236660400e-6,-1.199884173e-5,-7.496828857e-6,-9.360686590e-7,4.801637715e-6,5.871692338e-6,9.872371265e-6,1.224755488e-5,1.791788236e-5,2.014847450e-5,1.642035204e-5,2.753464742e-6,-1.111335860e-5,-2.201022835e-5,-2.763268822e-5,-2.946227869e-5
2.382812500e-1,2.869076525e-5,2.917180791e-5,2.883143316e-5,2.218129521e-5,9.532030163e-6,-1.598344397e-6,-1.128423173e-5,-9.663579476e-6,-4.264775725e-6,1.950598744e-6,5.530284852e-6,6.982259038e-6,9.627096915e-6,1.538446486e-5,1.945469921e-5,1.765328670e-5,7.612177797e-6,-9.432171282e-6,-2.064589535e-5,-2.783948730e-5,-2.835620035e-5,-2.864845192e-5
2.421875000e-1,2.788747224e-5,2.951006718e-5,2.683440835e-5,1.669730591e-5,2.056454377e-6,-1.002305544e-5,-1.285254348e-5,-8.197694115e-6,-6.058152167e-7,3.216073992e-6,5.448037882e-6,8.934366633e-6,1.491716466e-5,1.852125206e-5,1.732556848e-5,8.917973901e-6,-4.926128895e-6,-1.917459485e-5,-2.743616460e-5,-2.854706690e-5,-2.904505163e-5,-3.080643728e-5
